"ad identifier (state, year, race, sponsor, candidate, seconds pro, seconds con)",url,candidate,sponsor,network,date_time (UTC),date_time (EDT),Date,Time,"seconds

into program",identifier,party or PAC,State,Office,Pro / seconds,Con / seconds
2014_National_Association_of_Broadcasters_pro_20_con_10,https://archive.org/details/KYW_20140901_060500_Eyewitness_News_at_11#start/1595.2/end/1626.0,none,National Association of Broadcasters,KYW,20140901_060500,20140901_020500,"September 1, 2014",2:05 AM,1595,KYW_20140901_060500_Eyewitness_News_at_11#start/1595.2/end/1626.0,n/a,,,20,10
2014_National_Association_of_Broadcasters_pro_20_con_10,https://archive.org/details/KYW_20140901_070500_Up_to_the_Minute#start/1982.4/end/2013.3,none,National Association of Broadcasters,KYW,20140901_070500,20140901_030500,"September 1, 2014",3:05 AM,1982,KYW_20140901_070500_Up_to_the_Minute#start/1982.4/end/2013.3,n/a,,,20,10
2014_National_Association_of_Broadcasters_pro_20_con_10,https://archive.org/details/KYW_20140901_090000_Eyewitness_News_at_5#start/1064.5/end/1094.6,none,National Association of Broadcasters,KYW,20140901_090000,20140901_050000,"September 1, 2014",5:00 AM,1065,KYW_20140901_090000_Eyewitness_News_at_5#start/1064.5/end/1094.6,n/a,,,20,10
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WCAU_20140901_100000_NBC_10_News_Today_at_600a#start/693.6/end/724.4,Tom Corbett (con),Philadelphia Federation of Teachers,WCAU,20140901_100000,20140901_060000,"September 1, 2014",6:00 AM,694,WCAU_20140901_100000_NBC_10_News_Today_at_600a#start/693.6/end/724.4,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WPVI_20140901_100000_Action_News#start/827.7/end/858.4,Tom Corbett (con),Philadelphia Federation of Teachers,WPVI,20140901_100000,20140901_060000,"September 1, 2014",6:00 AM,828,WPVI_20140901_100000_Action_News#start/827.7/end/858.4,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WTXF_20140901_100000_Fox_29_Morning_News_at_6a#start/3525.0/end/3555.5,Tom Corbett (con),Philadelphia Federation of Teachers,WTXF,20140901_100000,20140901_060000,"September 1, 2014",6:00 AM,3525,WTXF_20140901_100000_Fox_29_Morning_News_at_6a#start/3525.0/end/3555.5,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WCAU_20140901_110000_Today#start/3538.0/end/3568.6,Tom Corbett (con),Philadelphia Federation of Teachers,WCAU,20140901_110000,20140901_070000,"September 1, 2014",7:00 AM,3538,WCAU_20140901_110000_Today#start/3538.0/end/3568.6,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WTXF_20140901_110000_Good_Day_Philadelphia#start/4325.5/end/4355.5,Tom Corbett (con),Philadelphia Federation of Teachers,WTXF,20140901_110000,20140901_070000,"September 1, 2014",7:00 AM,4326,WTXF_20140901_110000_Good_Day_Philadelphia#start/4325.5/end/4355.5,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WPVI_20140901_110000_Good_Morning_America#start/5944.2/end/5975.1,Tom Corbett (con),Philadelphia Federation of Teachers,WPVI,20140901_110000,20140901_070000,"September 1, 2014",7:00 AM,5944,WPVI_20140901_110000_Good_Morning_America#start/5944.2/end/5975.1,D-PAC,PA,Governor,0,30
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WTXF_20140901_110000_Good_Day_Philadelphia#start/3235.8/end/3265.7,Tom Wolf (pro),Tom Wolf for Governor,WTXF,20140901_110000,20140901_070000,"September 1, 2014",7:00 AM,3236,WTXF_20140901_110000_Good_Day_Philadelphia#start/3235.8/end/3265.7,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WCAU_20140901_110000_Today#start/5810.0/end/5841.0,Tom Wolf (pro),Tom Wolf for Governor,WCAU,20140901_110000,20140901_070000,"September 1, 2014",7:00 AM,5810,WCAU_20140901_110000_Today#start/5810.0/end/5841.0,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WPVI_20140901_110000_Good_Morning_America#start/6739.0/end/6768.8,Tom Wolf (pro),Tom Wolf for Governor,WPVI,20140901_110000,20140901_070000,"September 1, 2014",7:00 AM,6739,WPVI_20140901_110000_Good_Morning_America#start/6739.0/end/6768.8,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/KYW_20140901_110000_CBS_This_Morning#start/6814.0/end/6843.4,Tom Wolf (pro),Tom Wolf for Governor,KYW,20140901_110000,20140901_070000,"September 1, 2014",7:00 AM,6814,KYW_20140901_110000_CBS_This_Morning#start/6814.0/end/6843.4,D,PA,Governor,30,0
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WCAU_20140901_150000_NBC_10_News_Today_at_11a#start/1367.2/end/1397.5,Tom Corbett (con),Philadelphia Federation of Teachers,WCAU,20140901_150000,20140901_110000,"September 1, 2014",11:00 AM,1367,WCAU_20140901_150000_NBC_10_News_Today_at_11a#start/1367.2/end/1397.5,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WTXF_20140901_210000_FOX_29_News_at_Five#start/749.6/end/779.5,Tom Corbett (con),Philadelphia Federation of Teachers,WTXF,20140901_210000,20140901_170000,"September 1, 2014",5:00 PM,750,WTXF_20140901_210000_FOX_29_News_at_Five#start/749.6/end/779.5,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WPVI_20140901_213000_Action_News_530_PM#start/1587.7/end/1618.3,Tom Corbett (con),Philadelphia Federation of Teachers,WPVI,20140901_213000,20140901_173000,"September 1, 2014",5:30 PM,1588,WPVI_20140901_213000_Action_News_530_PM#start/1587.7/end/1618.3,D-PAC,PA,Governor,0,30
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WPVI_20140901_213000_Action_News_530_PM#start/1208.6/end/1239.3,Tom Wolf (pro),Tom Wolf for Governor,WPVI,20140901_213000,20140901_173000,"September 1, 2014",5:30 PM,1209,WPVI_20140901_213000_Action_News_530_PM#start/1208.6/end/1239.3,D,PA,Governor,30,0
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WPVI_20140901_220000_Action_News_600_PM#start/1090.0/end/1120.2,Tom Corbett (con),Philadelphia Federation of Teachers,WPVI,20140901_220000,20140901_180000,"September 1, 2014",6:00 PM,1090,WPVI_20140901_220000_Action_News_600_PM#start/1090.0/end/1120.2,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WCAU_20140901_220000_NBC_10_News_at_6pm#start/1246.0/end/1275.6,Tom Corbett (con),Philadelphia Federation of Teachers,WCAU,20140901_220000,20140901_180000,"September 1, 2014",6:00 PM,1246,WCAU_20140901_220000_NBC_10_News_at_6pm#start/1246.0/end/1275.6,D-PAC,PA,Governor,0,30
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WCAU_20140901_220000_NBC_10_News_at_6pm#start/1712.4/end/1742.1,Tom Wolf (pro),Tom Wolf for Governor,WCAU,20140901_220000,20140901_180000,"September 1, 2014",6:00 PM,1712,WCAU_20140901_220000_NBC_10_News_at_6pm#start/1712.4/end/1742.1,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WCAU_20140901_220000_NBC_10_News_at_6pm#start/1712.0/end/1742.1,Tom Wolf (pro),Tom Wolf for Governor,WCAU,20140901_220000,20140901_180000,"September 1, 2014",6:00 PM,1712,WCAU_20140901_220000_NBC_10_News_at_6pm#start/1712.0/end/1742.1,D,PA,Governor,30,0
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WCAU_20140902_030000_NBC_10_News_at_11p#start/851.6/end/882.0,Tom Corbett (con),Philadelphia Federation of Teachers,WCAU,20140902_030000,20140901_230000,"September 1, 2014",11:00 PM,852,WCAU_20140902_030000_NBC_10_News_at_11p#start/851.6/end/882.0,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WPVI_20140902_030000_Action_News#start/854.7/end/885.5,Tom Corbett (con),Philadelphia Federation of Teachers,WPVI,20140902_030000,20140901_230000,"September 1, 2014",11:00 PM,855,WPVI_20140902_030000_Action_News#start/854.7/end/885.5,D-PAC,PA,Governor,0,30
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/KYW_20140902_030000_Eyewitness_News_at_11#start/1332.1/end/1363.2,Tom Wolf (pro),Tom Wolf for Governor,KYW,20140902_030000,20140901_230000,"September 1, 2014",11:00 PM,1332,KYW_20140902_030000_Eyewitness_News_at_11#start/1332.1/end/1363.2,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WPVI_20140902_030000_Action_News#start/1569.3/end/1599.7,Tom Wolf (pro),Tom Wolf for Governor,WPVI,20140902_030000,20140901_230000,"September 1, 2014",11:00 PM,1569,WPVI_20140902_030000_Action_News#start/1569.3/end/1599.7,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WCAU_20140902_030000_NBC_10_News_at_11p#start/1791.2/end/1822.2,Tom Wolf (pro),Tom Wolf for Governor,WCAU,20140902_030000,20140901_230000,"September 1, 2014",11:00 PM,1791,WCAU_20140902_030000_NBC_10_News_at_11p#start/1791.2/end/1822.2,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WCAU_20140902_030000_NBC_10_News_at_11p#start/1791.8/end/1821.5,Tom Wolf (pro),Tom Wolf for Governor,WCAU,20140902_030000,20140901_230000,"September 1, 2014",11:00 PM,1792,WCAU_20140902_030000_NBC_10_News_at_11p#start/1791.8/end/1821.5,D,PA,Governor,30,0
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WPVI_20140902_043700_Nightline#start/1557.0/end/1587.1,Tom Corbett (con),Philadelphia Federation of Teachers,WPVI,20140902_043700,20140902_003700,"September 2, 2014",12:37 AM,1557,WPVI_20140902_043700_Nightline#start/1557.0/end/1587.1,D-PAC,PA,Governor,0,30
2014_National_Association_of_Broadcasters_pro_20_con_10,https://archive.org/details/KYW_20140902_083000_Eyewitness_News_at_430am#start/1029.4/end/1059.5,none,National Association of Broadcasters,KYW,20140902_083000,20140902_043000,"September 2, 2014",4:30 AM,1029,KYW_20140902_083000_Eyewitness_News_at_430am#start/1029.4/end/1059.5,n/a,,,20,10
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WPVI_20140902_100000_Action_News#start/1710.8/end/1741.1,Tom Corbett (con),Philadelphia Federation of Teachers,WPVI,20140902_100000,20140902_060000,"September 2, 2014",6:00 AM,1711,WPVI_20140902_100000_Action_News#start/1710.8/end/1741.1,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WTXF_20140902_100000_Fox_29_Morning_News_at_6a#start/1711.4/end/1741.3,Tom Corbett (con),Philadelphia Federation of Teachers,WTXF,20140902_100000,20140902_060000,"September 2, 2014",6:00 AM,1711,WTXF_20140902_100000_Fox_29_Morning_News_at_6a#start/1711.4/end/1741.3,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WCAU_20140902_100000_NBC_10_News_Today_at_600a#start/3053.2/end/3083.2,Tom Corbett (con),Philadelphia Federation of Teachers,WCAU,20140902_100000,20140902_060000,"September 2, 2014",6:00 AM,3053,WCAU_20140902_100000_NBC_10_News_Today_at_600a#start/3053.2/end/3083.2,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/KYW_20140902_100000_Eyewitness_News_at_6#start/3130.9/end/3161.0,Tom Corbett (con),Philadelphia Federation of Teachers,KYW,20140902_100000,20140902_060000,"September 2, 2014",6:00 AM,3131,KYW_20140902_100000_Eyewitness_News_at_6#start/3130.9/end/3161.0,D-PAC,PA,Governor,0,30
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WCAU_20140902_100000_NBC_10_News_Today_at_600a#start/1318.8/end/1348.6,Tom Wolf (pro),Tom Wolf for Governor,WCAU,20140902_100000,20140902_060000,"September 2, 2014",6:00 AM,1319,WCAU_20140902_100000_NBC_10_News_Today_at_600a#start/1318.8/end/1348.6,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WCAU_20140902_100000_NBC_10_News_Today_at_600a#start/1318.5/end/1349.3,Tom Wolf (pro),Tom Wolf for Governor,WCAU,20140902_100000,20140902_060000,"September 2, 2014",6:00 AM,1319,WCAU_20140902_100000_NBC_10_News_Today_at_600a#start/1318.5/end/1349.3,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WPVI_20140902_100000_Action_News#start/2506.1/end/2535.8,Tom Wolf (pro),Tom Wolf for Governor,WPVI,20140902_100000,20140902_060000,"September 2, 2014",6:00 AM,2506,WPVI_20140902_100000_Action_News#start/2506.1/end/2535.8,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WPVI_20140902_100000_Action_News#start/2506.1/end/2535.6,Tom Wolf (pro),Tom Wolf for Governor,WPVI,20140902_100000,20140902_060000,"September 2, 2014",6:00 AM,2506,WPVI_20140902_100000_Action_News#start/2506.1/end/2535.6,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WTXF_20140902_100000_Fox_29_Morning_News_at_6a#start/3253.2/end/3284.2,Tom Wolf (pro),Tom Wolf for Governor,WTXF,20140902_100000,20140902_060000,"September 2, 2014",6:00 AM,3253,WTXF_20140902_100000_Fox_29_Morning_News_at_6a#start/3253.2/end/3284.2,D,PA,Governor,30,0
